cycle,q_near_none,q_near_nightly,q_near_triggered,q_score_none,q_score_nightly,q_score_triggered
50,7.7422,7.7422,7.7422,7.7327,7.7327,7.7327
51,8.0341,8.0341,8.0341,8.025,8.025,8.025
52,8.184,8.184,8.184,8.1743,8.1743,8.1743
53,8.5156,8.5156,8.5156,8.5054,8.5054,8.5054
54,8.3866,8.3866,8.3866,8.3915,8.3915,8.3915
55,8.3802,8.3802,8.3802,8.3796,8.3796,8.3796
56,8.5297,8.5297,8.5297,8.529,8.529,8.529
57,7.7508,7.7508,7.7508,7.7501,7.7501,7.7501
58,8.554,8.554,8.554,8.5534,8.5534,8.5534
59,8.4216,8.4216,8.4216,8.4209,8.4209,8.4209
60,8.5843,8.5843,8.5843,8.5837,8.5837,8.5837
61,8.5287,8.5287,8.5287,8.528,8.528,8.528
62,8.178,8.178,8.178,8.1774,8.1774,8.1774
63,8.3276,8.3276,8.3276,8.327,8.327,8.327
64,8.2932,8.2932,8.2932,8.2926,8.2926,8.2926
65,8.5613,8.5613,8.5613,8.5607,8.5607,8.5607
66,8.4742,8.4742,8.4742,8.4736,8.4736,8.4736
67,8.2317,8.2317,8.2317,8.2311,8.2311,8.2311
68,8.2766,8.2766,8.2766,8.276,8.276,8.276
69,8.2988,8.2988,8.2988,8.2982,8.2982,8.2982
70,8.2118,8.2118,8.2118,8.2112,8.2112,8.2112
71,8.069,8.069,8.069,8.0684,8.0684,8.0684
72,8.3811,8.3811,8.3811,8.3805,8.3805,8.3805
73,8.3853,8.3853,8.3853,8.3847,8.3847,8.3847
74,8.2892,8.2892,8.2892,8.2886,8.2886,8.2886
75,8.3372,8.3372,8.3372,8.3366,8.3366,8.3366
76,7.8693,7.8693,7.8693,7.8687,7.8687,7.8687
77,7.8679,7.8679,7.8679,7.8673,7.8673,7.8673
78,8.0489,8.0489,8.0489,8.0483,8.0483,8.0483
79,8.0924,8.0924,8.0924,8.0918,8.0918,8.0918
80,8.1415,8.1415,8.1415,8.1409,8.1409,8.1409
81,7.9068,7.9068,7.9068,7.9063,7.9063,7.9063
82,7.8058,7.8058,7.8058,7.8052,7.8052,7.8052
83,7.8436,7.8436,7.8436,7.843,7.843,7.843
84,7.9235,7.9235,7.9235,7.923,7.923,7.923
85,7.88,7.88,7.88,7.8794,7.8794,7.8794
86,8.2149,8.2149,8.2149,8.2143,8.2143,8.2143
87,7.7554,7.7554,7.7554,7.7548,7.7548,7.7548
88,7.7794,7.7794,7.7794,7.7787,7.7787,7.7787
89,7.7391,7.7391,7.7391,7.7385,7.7385,7.7385
90,7.9179,7.9179,7.9179,7.9173,7.9173,7.9173
91,8.3474,8.3474,8.3474,8.3469,8.3469,8.3469
92,8.3745,8.3745,8.3745,8.374,8.374,8.374
93,8.5187,8.5187,8.5187,8.5181,8.5181,8.5181
94,8.4132,8.4132,8.4132,8.4126,8.4126,8.4126
95,7.9731,7.9731,7.9731,7.9725,7.9725,7.9725
96,8.0607,8.0607,8.0607,8.06,8.06,8.06
97,8.1933,8.1933,8.1933,8.1926,8.1926,8.1926
98,8.0777,8.0777,8.0777,8.0771,8.0771,8.0771
99,8.059,8.059,8.059,8.0583,8.0583,8.0583
100,8.1697,7.0078,7.0078,8.1691,7.0072,7.0072
101,8.057,7.57,7.57,8.0564,7.5694,7.5694
