n_init,p_store,seed,policy,retr,store,resp,dead,leg
240,0.5,2046,demand,50.197,34.328,42.425,7.066,7.643
240,0.5,2046,cog,44.42,49.005,46.666,11.86,11.884
240,0.5,2047,io,55.235,37.523,46.537,8.059,8.639
240,0.5,2047,last,50.845,37.523,44.303,0.0,6.405
240,0.5,2047,center,48.005,57.523,52.679,14.913,14.781
240,0.5,2047,demand,55.235,37.523,46.537,8.059,8.639
240,0.5,2047,cog,47.75,53.617,50.631,12.791,12.733
240,0.5,2048,io,52.453,35.358,44.124,7.308,8.113
240,0.5,2048,last,48.667,35.358,42.183,0.0,6.172
240,0.5,2048,center,46.858,55.358,50.999,15.208,14.987
240,0.5,2048,demand,52.453,35.358,44.124,7.308,8.113
240,0.5,2048,cog,46.24,50.979,48.549,12.555,12.537
240,0.5,2049,io,50.615,34.753,42.846,7.079,7.686
240,0.5,2049,last,46.41,34.753,40.7,0.0,5.541
240,0.5,2049,center,45.513,54.753,50.038,15.047,14.879
240,0.5,2049,demand,50.615,34.753,42.846,7.079,7.686
240,0.5,2049,cog,44.08,48.982,46.481,11.264,11.321
240,0.5,2050,io,49.555,34.167,42.018,6.847,7.418
240,0.5,2050,last,47.233,34.167,40.833,0.0,6.233
240,0.5,2050,center,45.355,54.167,49.671,15.224,15.071
240,0.5,2050,demand,49.555,34.167,42.018,6.847,7.418
240,0.5,2050,cog,43.888,48.49,46.142,11.528,11.542
240,0.5,2051,io,53.37,36.654,45.182,7.462,8.089
240,0.5,2051,last,49.07,36.654,42.989,0.0,5.895
240,0.5,2051,center,46.645,56.654,51.547,14.643,14.454
240,0.5,2051,demand,53.37,36.654,45.182,7.462,8.089
240,0.5,2051,cog,45.905,51.799,48.792,11.749,11.699
240,0.5,2052,io,50.502,35.2,42.948,7.128,7.503
240,0.5,2052,last,46.695,35.2,41.02,0.0,5.575
240,0.5,2052,center,45.345,55.2,50.21,14.896,14.765
240,0.5,2052,demand,50.502,35.2,42.948,7.128,7.503
240,0.5,2052,cog,44.075,49.744,46.873,11.453,11.428
240,0.5,2053,io,53.605,36.128,45.068,7.793,8.473
240,0.5,2053,last,48.625,36.128,42.52,0.0,5.926
240,0.5,2053,center,47.055,56.128,51.487,15.12,14.893
240,0.5,2053,demand,53.605,36.128,45.068,7.793,8.473
240,0.5,2053,cog,46.343,51.814,49.015,12.526,12.421
