scenario,seed,strat,n,fail,tot_time2,exp_t,hot_t,heavy_tier,energy,cog,path,util,viol
L120_skew,2031,near,120,0,2196.0,8.978443041049303,9.895833333333334,4.25,21894.800000000007,4.023891788576052,3240.0,0.6325,0
L120_skew,2031,score,120,0,2328.0,8.292118047121686,9.458333333333334,4.041666666666667,21456.700000000004,3.9433764610747652,3214.0,0.6325,0
L120_skew,2031,awra,120,0,2372.0,4.6739008987126525,6.770833333333333,0.625,16270.500000000002,2.9902411232816304,3216.0,0.6325,0
L120_skew,2031,cb,120,0,3290.0,4.610511294632013,4.229166666666667,5.333333333333333,34168.4,6.279570682937589,3812.0,0.6325,0
L120_skew,2031,tob,120,0,2196.0,3.539427981539954,3.4166666666666665,4.083333333333333,22459.999999999993,4.12776593398515,3240.0,0.6325,0
L120_skew,2032,random,120,0,4178.0,23.77427653408373,22.979166666666668,5.333333333333333,44425.49999999999,7.84570146934162,4298.0,0.6325,0
L120_skew,2032,seq,120,0,4529.0,17.522171237767218,18.458333333333332,4.625,47796.3,8.44099675049449,3208.0,0.6325,0
L120_skew,2032,near,120,0,2196.0,10.091924272333989,9.833333333333334,4.416666666666667,22940.999999999996,4.051462277479513,3240.0,0.6325,0
L120_skew,2032,score,120,0,2284.0,9.663777353101768,10.25,4.0,22276.499999999993,3.934109211641705,3216.0,0.6325,0
L120_skew,2032,awra,120,0,2284.0,4.597562896383717,7.416666666666667,0.4583333333333333,17044.09999999999,3.0100487425826485,3216.0,0.6325,0
L120_skew,2032,cb,120,0,3307.0,4.423983577638707,4.229166666666667,5.416666666666667,36581.00000000001,6.460334840350382,3838.0,0.6325,0
L120_skew,2032,tob,120,0,2196.0,3.428005166113653,3.4166666666666665,2.9583333333333335,22747.9,4.01736012998022,3240.0,0.6325,0
L120_skew,2033,random,120,0,4161.0,17.283618667506925,16.583333333333332,6.083333333333333,44950.2,8.251225287736114,4168.0,0.6325,0
L120_skew,2033,seq,120,0,4529.0,15.922522144032492,16.479166666666668,4.958333333333333,45508.79999999999,8.353763973787107,3208.0,0.6325,0
L120_skew,2033,near,120,0,2196.0,7.778270839897765,8.208333333333334,3.375,22209.599999999995,4.07687647998238,3240.0,0.6325,0
L120_skew,2033,score,120,0,2416.0,6.974652522494134,7.145833333333333,3.125,21395.499999999993,3.92743726710355,3226.0,0.6325,0
